Date,Closing Price,Open,High,Low
2020-09-15,0.0028238721,0.0027977849,0.0028753198,0.0027807157
2020-09-16,0.0027912759,0.0028268898,0.002869699,0.0027777766
2020-09-17,0.0027929049,0.0028225489,0.0028643734,0.0027445815
2020-09-18,0.0027977671,0.0028052335,0.0028199819,0.0027498302
2020-09-19,0.0027907185,0.0027939666,0.0028106163,0.0027652548
2020-09-20,0.0027524703,0.0027910809,0.0028039335,0.0027264502
2020-09-21,0.0026660844,0.0027722337,0.0028053758,0.0025738445
2020-09-22,0.0026181823,0.0026022295,0.0026726183,0.0025724904
2020-09-23,0.002558773,0.0026428688,0.0026753616,0.0025257959
2020-09-24,0.0026328634,0.0025426967,0.0026606011,0.0025022844
2020-09-25,0.0026856534,0.0026273914,0.0027306708,0.0026054488
2020-09-26,0.002702662,0.002735631,0.0027580429,0.002679163
2020-09-27,0.0027056237,0.0027036344,0.0027366528,0.0026647486
2020-09-28,0.0026673956,0.002696192,0.0027610056,0.002649147
2020-09-29,0.0026741477,0.0026268328,0.0027411341,0.0026015799
2020-09-30,0.0026278668,0.0026444922,0.0026906162,0.0026047339
2020-10-01,0.0026314479,0.0026246576,0.0026917345,0.0025621737
2020-10-02,0.0026014262,0.0026276769,0.0026297865,0.0025318728
2020-10-03,0.002584024,0.0025952211,0.0026391787,0.0025770321
2020-10-04,0.0026122674,0.0025928031,0.0026924083,0.0025863962
2020-10-05,0.0026065965,0.002615554,0.0026559446,0.0025946524
2020-10-06,0.0025963919,0.0026282294,0.0026337226,0.0025716949
2020-10-07,0.0025878497,0.002593248,0.0026089983,0.00255574
2020-10-08,0.0026210788,0.0025883882,0.0026441711,0.002542567
2020-10-09,0.002654308,0.0026110864,0.0027048772,0.0025721531
2020-10-10,0.002689359,0.0026562845,0.002767314,0.0026391025
2020-10-11,0.0026867368,0.0026470493,0.002711992,0.0026363096
2020-10-12,0.0027116933,0.0026864761,0.002727675,0.0026167617
2020-10-13,0.0026422849,0.0026809792,0.002687318,0.0026294692
2020-10-14,0.0026523028,0.0026493817,0.0026793805,0.0026196142
2020-10-15,0.0026082201,0.0026408589,0.0026596618,0.0025471682
2020-10-16,0.0025886808,0.0025886834,0.0026245345,0.0025324054
2020-10-17,0.0025663666,0.0026067911,0.0026333895,0.0025495439
2020-10-18,0.0025952095,0.0025917348,0.0026043822,0.0025688828
2020-10-19,0.0025925037,0.0025948408,0.0026300379,0.0025653441
2020-10-20,0.0025964447,0.0026068594,0.0026417575,0.0025615431
2020-10-21,0.002681365,0.0025749817,0.0026937392,0.0025618955
2020-10-22,0.002679465,0.0025958936,0.0026985482,0.002592006
2020-10-23,0.0026595382,0.0026515482,0.0026990651,0.00261726
2020-10-24,0.0026551598,0.0026336312,0.0026659718,0.0026065434
2020-10-25,0.0026821765,0.0026415965,0.0026995999,0.0026086142
2020-10-26,0.0026654401,0.0026839464,0.0029266142,0.0026230521
2020-10-27,0.0026956016,0.0026814608,0.0027328216,0.0026205306
2020-10-28,0.002559989,0.0026427848,0.0027205492,0.0025342612
2020-10-29,0.0025857678,0.0026048495,0.0026279071,0.0025090554
2020-10-30,0.0025893842,0.0025878809,0.0026125216,0.0025096451
2020-10-31,0.0026047046,0.0025999029,0.0026264161,0.0025027936
2020-11-01,0.0025760171,0.002604668,0.0026192734,0.0025216748
2020-11-02,0.002503459,0.0025628601,0.0025948305,0.0024907478
2020-11-03,0.0025049993,0.0025356547,0.0025376822,0.002444745
